GeneratedOn,GeneratedBy,Id,AccountName,Amount,CloseDate,Name,OwnerEmail,StageName,Type
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Hillside Recycleables Parts LLC,13875,1999-07-16,Hillside Recycleables Parts LLC / Small Mfg Prop $14K,joy@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,DuuBu & Co.,22586,1999-08-06,"DuuBu & Co., LG OFC PROP 15",tomas@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,617 Information Computers,1671,1999-08-06,"617 Information Computers, SM OFF 7",duston@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Clementina Systems,34219,1999-08-06,Clementina Systems / Small Garage Property Coverage $34K,yarin@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,N Consultants Inc,1721,1999-08-06,"N Consultants Inc, Small Office Prop 7",xiaodan@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,PiSo,72494,1999-08-13,PiSo / CORP OFC PROP $72K,duston@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Harvard And Associates,113286,1999-08-20,"Harvard And Associates, Corp Office Property Coverage 22",adrian@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Sajeehoo & Company,4823,1999-08-20,"Sajeehoo & Company, Small Office Prop 20",faiz@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Pearl Advisers,72603,1999-08-20,"Pearl Advisers - Corp Office Property Coverage, $72603",joy@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,WuWoo & Co.,96406,1999-08-27,"WuWoo & Co., CORP OFC PROP 19",giridhar@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Sutter Investors,1666,1999-09-04,"Sutter Investors - Small Office Property Coverage, $1666",stuart@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Beach Manufacturing Supplies,30234,1999-09-11,Beach Manufacturing Supplies / SM MFG $30K,rod@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,South Offices,175335,1999-09-25,"South Offices, MED HC 25",elisha@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Campus Podiatry,13488,1999-10-01,"Campus Podiatry, SM HC PROP 7",giridhar@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Newhall Metal Contractors,31608,1999-10-08,"Newhall Metal Contractors - Small Mfg, $31608",duston@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Financial Distrct,27978,1999-10-15,"Financial Distrct, Large Office Prop 18",faiz@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Coopaa,105020,1999-10-22,"Coopaa, CORP OFF 21",winthrop@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,SoMa Systems,42467,1999-10-22,SoMa Systems / Small Garage Property Coverage $42K,xiaodan@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Kovigu,3544,1999-10-22,"Kovigu, Small Office 14",coraline@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Adaptive Data Design,68451,1999-10-22,"Adaptive Data Design, Corp Office 14",yarin@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Holding Iron Incorporated Inc,29226,1999-10-22,"Holding Iron Incorporated Inc - Small Mfg, $29226",tomas@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Tigoova,85799,1999-10-29,"Tigoova - CORP OFC PROP, $85799",rod@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,East LLP,83319,1999-10-29,East LLP / CORP OFF $83K,yarin@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Innovative Information Mobile,75820,1999-11-05,"Innovative Information Mobile - Corp Office, $75820",stuart@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Endicott Investing,75725,1999-11-12,Endicott Investing / Corp Office $76K,winthrop@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Northern California Concrete International Inc,14128,1999-11-26,"Northern California Concrete International Inc - SM MFG, $14128",giridhar@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,SoMa Display Communications Inc.,1818,1999-11-26,SoMa Display Communications Inc. / SM OFF $$1818,sherill@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Financial Distrct Forecasting,21198,1999-12-03,"Financial Distrct Forecasting, Large Office 14",tomas@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Bowman Mill Supplies,160689,1999-12-10,"Bowman Mill Supplies, Medium Mfg 22",yarin@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Duujeebee Inc,87053,1999-12-17,"Duujeebee Inc - Corp Office, $87053",yarin@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Golden Gate Bridge Iron Wreckers,30029,1999-12-17,"Golden Gate Bridge Iron Wreckers, Small Mfg Property Coverage 15",hammet@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Alliance Services,44023,1999-12-17,Alliance Services / SM HC $44K,stuart@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,America Institute,28810,1999-12-17,"America Institute, SM HC PROP 14",harper@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,"Schulz, Garfield & Parker LLP",1705,1999-12-24,"Schulz, Garfield & Parker LLP, Small Office Property Coverage 7",tomas@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Leerovoo,1945,1999-12-31,"Leerovoo - SM OFC PROP, $1945",harper@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,YaBeeCa,21791,1999-12-31,"YaBeeCa - LG OFF, $21791",giridhar@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Coit Tower Automotive & Company,17322,2000-01-07,Coit Tower Automotive & Company / Small Garage Property Coverage $17K,harper@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Brookline Lending,4803,2000-01-14,"Brookline Lending, SM OFC PROP 20",harper@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,South End Storage Labs,22449,2000-01-21,"South End Storage Labs - Large Office, $22449",tomas@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Mission Network Worldwide,26780,2000-02-05,"Mission Network Worldwide - LG OFC PROP, $26780",giridhar@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,D. I. Net Tec,1729,2000-02-05,"D. I. Net Tec - Small Office Property Coverage, $1729",elisha@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Adaptive Apps Labs,28301,2000-02-12,"Adaptive Apps Labs - LG OFC PROP, $28301",yarin@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Hanover Info Machines,68455,2000-02-12,Hanover Info Machines / Corp Office $68K,winthrop@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Merrywest Living,15733,2000-02-12,Merrywest Living / Small Healthcare $16K,elisha@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Southeast Recycleables Vehicles,14342,2000-02-19,"Southeast Recycleables Vehicles, Small Mfg 7",meiying@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Broad Lenders LLC,100728,2000-02-26,Broad Lenders LLC / Corp Office Prop $101K,stuart@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Optimum Center LLC,30576,2000-02-26,"Optimum Center LLC, SM HC 15",elisha@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Bayview Wood Parts,13411,2000-03-02,Bayview Wood Parts / Small Mfg Property Coverage $13K,joy@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Clementina Windows,80228,2000-03-09,"Clementina Windows - Active Garage Property Coverage, $80228",tomas@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Jaaja,43559,2000-03-09,"Jaaja, LG OFC PROP 28",giridhar@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Financial,21593,2000-03-16,Financial / Large Office Prop $22K,devindar@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Harris Financial,1804,2000-03-16,"Harris Financial - Small Office, $1804",coraline@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Commonwealth Media International Inc,95832,2000-03-23,"Commonwealth Media International Inc - Corp Office Prop, $95832",elisha@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Independence Instruments Partners,13420,2000-03-30,"Independence Instruments Partners, Small Healthcare 7",duston@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,California,3643,2000-04-06,"California, Small Office 14",sherill@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Credit Banking & Co.,5692,2000-04-13,"Credit Banking & Co., SM OFF 22",rod@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Minna Motors,17500,2000-04-13,"Minna Motors, Small Garage 7",stuart@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Electronic Media Incorporated,1819,2000-05-05,Electronic Media Incorporated / SM OFC PROP $$1819,abir@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Merrywest Therapeutics,29063,2000-05-12,"Merrywest Therapeutics - SM HC PROP, $29063",xiaodan@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Elevated Investing,3905,2000-05-12,"Elevated Investing, Small Office Property Coverage 15",sherill@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,St Media Machines,1697,2000-05-19,"St Media Machines, Small Office 7",faiz@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,New Information Networks,23339,2000-05-19,"New Information Networks, LG OFC PROP 15",tomas@alta-insurance.com,Qualification,New Business
